user_id,username,name,sex,address,mail,birthdate,country,job,phone_number,date
V880715510,taoye,李志豪,F,60324 澎湖雙連街301號7樓,xujuan@yahoo.com,1911-01-01,格瑞那達,PCB技術人員,06-9324655,1973-06-21
G992301861,taojing,馮雅涵,M,78028 北斗德巷74號之7,hbai@gmail.com,1908-12-07,拉脫維亞,農林業設備操作員,09-1210355,1997-07-16
Z054781019,zhaona,李雅惠,F,860 高雄關渡巷40號7樓,daimin@gmail.com,1935-01-14,坦尚尼亞,消防員,05-89302923,1974-05-16
H903597608,qiaogang,翟惠雯,M,920 斗六市文山路908號之1,zouwei@gmail.com,1961-09-22,泰國,小客車司機,04 3554795,2007-09-11
P538409621,ajia,林郁雯,F,256 板橋博愛路403號7樓,caijuan@hotmail.com,2014-12-08,柬埔寨,自動控制工程師,031 84732624,2003-08-26
U855900610,yan28,陸馨儀,F,624 台南市光復街2段768號之5,along@hotmail.com,1956-07-12,摩洛哥,防火及建築檢驗人員,042 95871494,1996-09-27
I936162063,ganghao,吳佳穎,M,90648 臺中新生路360號之3,yongzou@hotmail.com,2016-01-06,厄利垂亞,保全技術人員,(06) 97643970,2001-08-30
X638158571,eluo,趙靜宜,M,62484 台南縣民有巷1號1樓,kongjing@hotmail.com,2018-12-09,加拿大,吊車／起重機設備操作員,01-99486984,1996-04-07
N630082223,yan70,康靜宜,M,71208 澎湖劍潭路18號之0,mingcao@gmail.com,1920-02-14,塞席爾,系統維護／操作人員,097 66858139,1981-07-03
Q936031767,yinjuan,邱琬婷,F,59196 橫山縣光復巷3號之8,pingfeng@hotmail.com,1998-06-09,美國,製鞋類人員,0905697107,1970-06-30
P437269744,jun55,王怡萱,F,37189 楊梅昆陽街3段7號之1,uxie@hotmail.com,1969-05-10,諾魯,助理工程師,0975-472652,2019-05-15
Y092697545,qinlei,周淑貞,F,69956 平鎮紅樹林巷845號之5,pliao@hotmail.com,2000-07-23,依朗,生鮮人員,(06) 99751345,1993-09-16
X853518987,guiying90,石宜庭,M,880 橫山市芝山街98號1樓,jxiong@yahoo.com,1932-05-31,寮國,志工人員,09-9879038,2012-07-07
Y386688893,qinxia,季佳蓉,M,975 新竹和平路2號6樓,pfang@gmail.com,1996-09-29,玻利維亞,品管／品保工程師,0955-994922,1992-07-11
B413203134,xiabai,謝郁雯,M,79755 褒忠市迴龍街9段588號2樓,wuguiying@yahoo.com,1970-03-02,斯洛維尼亞,財務會計助理,0974141701,1980-04-23
T247967581,yong44,石俊賢,F,874 中壢建國路8段1號6樓,taomo@hotmail.com,1913-07-10,幾內亞,壓鑄模具技術人員,031 74805023,1984-05-09
U081287091,gangchen,崔怡君,F,748 新竹市關渡街4號之1,ydeng@yahoo.com,1915-12-16,安哥拉,安全／衛生檢驗人員,09 3994257,1998-12-11
J910291369,panqiang,王婉婷,F,698 台東縣大智巷6段868號9樓,idu@hotmail.com,1989-03-21,亞塞拜然,網路安全分析師,(07) 98984066,1993-09-13
S467165210,yanwen,馬家銘,F,11898 光復市福安巷66號4樓,echeng@yahoo.com,1972-02-15,不丹,消防專業人員,041 44999141,1990-02-28
A433453782,guiying11,潘慧君,F,131 馬公興街3號2樓,qianxia@hotmail.com,1991-10-08,喀麥隆,網頁設計師,09 1222510,1979-06-17
Z799146004,chenxiuying,莫志豪,M,22005 三重縣莒光路684號之8,wcheng@gmail.com,1968-09-23,法屬玻里尼西亞,資訊專業人員,04 3853915,1976-03-25
H240486954,houjing,郭琬婷,M,42240 台南市華興路5段88號之7,weijin@gmail.com,1944-10-26,印尼,環境工程師,0946975923,2019-04-21
S639888428,xia67,孫冠霖,F,20366 阿里山大橋頭街7段3號之3,xiaoyong@gmail.com,2014-02-20,德國,農藝作物栽培工作者,0941169062,2011-09-28
I451221348,fanggang,陳羽,M,798 台北縣長安街356號6樓,jinggao@yahoo.com,1933-03-11,聖多美及普林西比,獸醫師,(05) 94334590,1975-12-13
R455566456,kongfang,王沖,M,484 臺中市北投路51號之9,xhao@gmail.com,1977-04-25,秘魯,診所助理,(07) 79362803,1987-11-14
C319210202,asong,龔詩涵,M,584 板橋縣萬隆巷16號之4,nalu@hotmail.com,1953-08-28,索馬利亞,清潔工,0915802542,1990-02-25
N897408140,czou,宋怡安,M,47358 彰化縣大智巷3段92號9樓,uwang@gmail.com,1945-10-17,茅利塔尼亞,專案管理師,(05) 21084259,1983-10-02
E127455057,jie73,馮佳蓉,M,50669 橫山土城巷67號4樓,liyang@hotmail.com,1936-05-13,象牙海岸,銀行辦事員,05-8228516,2013-03-22
N134717314,yong08,高龍,M,91752 台東市景美路8號6樓,xiuyinggu@gmail.com,2009-08-24,盧安達,大貨車司機,(01) 80686897,2005-01-24
M567210915,mingsun,黃雅婷,M,109 桃園蘆洲路43號之8,jduan@hotmail.com,2001-01-18,剛果,統計學研究員,066 80049196,2020-04-23
B586246090,fanmin,白俊宏,M,444 桃園光華街2號6樓,jun19@gmail.com,1927-01-22,科克群島,加油員,(06) 46423293,1978-11-06
I310964116,xiewei,李嘉玲,F,98113 花蓮中央巷785號7樓,dma@hotmail.com,1925-05-31,科克群島,櫃檯接待人員,00-99233600,2000-09-19
V678984719,ming70,唐靜怡,F,87060 牡丹林森路81號之4,yongjiang@yahoo.com,1924-08-06,肯亞,一般動物飼育工作者,0902686989,1975-04-21
T520556374,changfang,劉怡伶,F,73163 台東市中山巷3號之3,caiyan@yahoo.com,1994-01-07,奧地利,領班,0942461338,2014-08-13
N501973469,the,王靜怡,F,28821 朴子興路3段472號之2,fangdu@hotmail.com,1910-07-28,索馬利亞,生管助理,08-9577782,2010-12-29
L990430400,hufang,魏俊宏,M,214 褒忠水源街133號9樓,liaochao@hotmail.com,2004-02-26,布吉納法索,記者／採編,0974354381,2020-02-05
R239822806,cluo,陳佳蓉,M,44645 褒忠市信義路62號之1,shaoming@hotmail.com,1985-06-16,亞美尼亞,生產管理主管,05 1243912,1990-09-07
N570887811,vxia,黃雅玲,M,697 竹田小碧潭路7段4號之5,guiyingyu@yahoo.com,1908-11-03,英國,硬體工程研發主管,0964284160,2013-09-23
E958681846,leiwei,劉琬婷,F,82773 關山中山巷2號之4,jsun@yahoo.com,1952-08-30,布吉納法索,日式廚師,0993-518515,1974-08-13
U724486547,jinglin,謝怡伶,F,86968 斗六市關渡巷5號5樓,liangyan@yahoo.com,2004-10-22,印尼,採購助理,0922-926763,1980-01-12
W964299407,vzheng,盧柏翰,M,554 桃園國凱八德巷6號之0,fdai@hotmail.com,2018-11-03,坦尚尼亞,品管／品保工程師,03-80074609,1976-10-13
G911516884,gsu,李靜怡,M,94956 新營國凱八德巷17號之8,xia94@hotmail.com,1923-08-12,葡萄牙,飛行機師,06-1192211,1973-11-13
L567702585,jing13,王冠廷,F,982 新營民治街1段1號之0,kangjuan@hotmail.com,1914-08-07,波蘭,微機電工程師,08-4360775,1975-11-01
T795702408,zouxia,韓思穎,F,16005 草屯中華巷1號之0,qiaoyong@gmail.com,1956-03-08,蒙古,餐廚助手,09 6855994,1979-02-24
U407078470,yixiulan,周雅萍,F,516 三重忠義街5號之8,byan@yahoo.com,1963-07-12,哥斯大黎加,太陽能技術工程師,07 4245799,2017-02-27
G427070622,wenming,賈宜庭,M,97040 三重縣德路148號3樓,xiuying47@hotmail.com,1915-06-17,蒙古,機電技師／工程師,0979734916,1984-10-13
X060174221,leihuang,安彥廷,F,73737 臺東中山路206號之4,xiulan44@hotmail.com,1913-12-30,澳大利亞,量測／儀校人員,0935-342520,1999-05-24
Y206309799,gongxiuying,蕭詩婷,M,980 頭份昆陽街269號之7,jing15@hotmail.com,1947-05-13,馬來西亞,農藝／畜產研究人員,083 22036895,1980-01-24
M192977187,zyang,徐瑋婷,F,237 橫山國凱八德路79號之3,gangma@yahoo.com,1918-05-18,辛巴威,結構技師,05-44747482,2008-10-22
Z133706448,zengtao,劉詩涵,M,473 北斗市中正街4號7樓,lqian@gmail.com,1974-11-09,瓜地馬拉,遊戲企劃人員,056 82989802,1971-04-27
A687174523,fang66,雷嘉玲,M,867 鳳山淡水路8號之6,yexia@gmail.com,1982-11-21,南非,治療師,(02) 28031159,1972-09-08
K160811129,leilai,胡雅琪,F,487 竹北永安路1號6樓,chao41@yahoo.com,1934-01-25,孟加拉,資訊專業人員,02-3968177,2005-12-21
S078933157,qiaona,陳婷婷,F,18091 卑南縣象山街55號1樓,zkang@hotmail.com,1995-11-05,巴拿馬,光電工程研發主管,0938-828688,2001-06-20
K058917788,zengxia,李俊賢,F,304 台中華興巷5號之6,bren@gmail.com,1918-08-09,辛巴威,業務支援工程師,08-8532179,1975-04-10
P455711058,junma,姜沖,F,57325 馬公民有路44號之3,gaojing@yahoo.com,1965-08-29,丹麥,金融專業主管,06-51306482,1974-06-02
F320488780,fangren,孫俊宏,M,68732 高雄仁愛巷57號5樓,pgu@yahoo.com,1920-11-06,哥斯大黎加,微機電工程師,059 43437766,1996-07-04
L033269974,chaozhang,張家瑋,F,96189 竹北市中和街3號之6,gangxiao@yahoo.com,1992-10-16,德國,美術老師,0928-627727,1974-12-02
Y787122526,pxiang,王信宏,M,79309 古坑正義街41號之6,yong82@hotmail.com,2010-06-09,美國,噴漆人員,(00) 99529368,2017-10-12
Y133650432,suchao,王傑克,F,770 楊梅萬隆路5段39號8樓,guiyingsu@yahoo.com,1989-12-31,巴拿馬,網路安全分析師,03-52036225,1971-11-17
J927164660,vtang,楊宜庭,M,96036 員林廣慈巷22號之4,taopan@hotmail.com,1959-02-03,越南,農林業設備操作員,09 8334767,1999-04-24
T452159968,gdu,張淑娟,F,21107 桃園廣慈路84號之6,na36@gmail.com,1947-12-29,貝南,電腦繪圖人員,03-5151456,1977-12-17
W496641528,chao97,張龍,M,81162 頭份縣新埔路417號2樓,chao69@gmail.com,2010-08-30,塞浦路斯,地質與地球科學研究員,(05) 19052603,1994-06-30
C744786031,lianggang,梅郁雯,M,574 員林民族街836號2樓,yaoli@hotmail.com,1924-05-08,約旦,光電工程師,05-72094769,1997-05-28
W039869993,mingzeng,謝雅慧,M,867 屏東市紅樹林路4號1樓,gwu@hotmail.com,1941-12-04,白俄羅斯,多媒體開發主管,0974650410,1986-08-06
G235588312,laiyong,陳建宏,M,74582 竹北東湖巷5段2號之0,shenguiying@gmail.com,1969-01-07,匈牙利,照顧服務員,0972-445245,2004-12-26
V157526963,yexiuying,王惠雯,F,28623 板橋縣五福街4段3號3樓,xiamin@hotmail.com,1914-12-09,馬爾地夫,藥學助理,(05) 58731669,2013-01-23
F762409139,ming82,楊靜怡,M,729 頭份關渡路114號1樓,yili@hotmail.com,2002-01-17,巴西,法務助理,(02) 86585846,1986-11-28
I074157361,haoping,龐沖,M,407 斗六市大同巷710號4樓,huanggang@yahoo.com,1949-01-17,巴拿馬,產品管理師,0949591687,1988-03-11
A916715071,tjin,朱雅琪,F,170 桃園縣永和巷2號5樓,cxia@gmail.com,1970-02-25,波蘭,麵包師,00 1203726,2006-02-13
R731154625,rzheng,楊信宏,F,30388 汐止景美街60號1樓,yangma@yahoo.com,1934-07-11,德國,多媒體開發主管,03-68863780,1984-07-15
Y204350413,slei,曾冠廷,M,31253 褒忠縣新生巷9段6號之2,cuimin@gmail.com,2010-03-10,伊拉克,CNC機台操作人員,(01) 76371267,1989-06-04
U471489077,jun86,姚瑋婷,F,35467 花蓮市松山路3號之5,ping34@gmail.com,1930-03-05,聖露西亞,金融研究員,03 3697321,1976-10-03
Y322817075,weiluo,蕭家瑜,F,870 斗六西門路6號之9,gmao@hotmail.com,1957-12-08,喀麥隆,數位IC設計工程師,03-5919566,2003-09-08
W853815766,dingjing,邢志偉,M,411 中和縣五福巷9段20號9樓,bhan@hotmail.com,1994-12-26,聖露西亞,國外業務主管,01 9192025,2013-06-10
Y022046915,yan86,朱詩婷,F,588 鳳山中山巷4號之3,lei77@yahoo.com,1963-08-28,阿爾及利亞,護理師,0945-497868,1990-09-12
G045106648,guiying40,林郁婷,M,63058 連江東興巷8段289號5樓,pingwei@yahoo.com,1991-03-05,匈牙利,派報生／傳單派送,0982-990767,1994-12-15
K385497767,yanggong,蘇嘉玲,F,202 古坑復興路89號9樓,jie50@hotmail.com,1953-09-10,秘魯,財務會計助理,0939543443,2014-12-03
H960800692,yqian,張雅雯,M,698 新營縣龍山寺街1號6樓,li50@gmail.com,1954-10-11,斯洛維尼亞,法務／智財主管,09-96619336,1990-10-31
F521235674,ping18,胡淑貞,M,91651 新竹市林森巷5號5樓,gangxiong@hotmail.com,1908-10-10,斯里蘭卡,硬體工程研發主管,(01) 45256690,1975-06-26
C358128952,hxu,李冠霖,M,81161 中壢市復興路3號之8,huna@gmail.com,1954-09-05,聖多美及普林西比,主管特別助理,(06) 50446411,1994-11-07
G622972334,bzeng,王惠婷,M,68933 新北縣成功街284號8樓,jing60@gmail.com,1998-06-28,巴西,數位IC設計工程師,0997-328862,1975-07-25
P875709786,iliao,劉鈺婷,F,794 台南市福安巷65號7樓,tao81@yahoo.com,1995-06-19,開曼群島,稽核人員,0984203224,2013-12-24
E601110186,zhengjing,袁怡婷,M,80969 八德縣文山路808號6樓,jingfang@hotmail.com,1963-10-22,斯洛伐克,發行企劃／出版人員,07 3327426,1983-11-30
B973512838,dingyan,曾佳玲,F,59052 台東市劍潭街7號之9,ping27@yahoo.com,1910-04-24,厄利垂亞,家事服務人員,0900-113249,1994-05-13
E505027026,xwang,花宇軒,M,42702 高雄古亭路4段77號7樓,zhengguiying@hotmail.com,2013-10-15,辛巴威,演員,07 5805235,2001-11-23
C921670811,yangdong,賴淑娟,F,16242 八德市關渡路4號3樓,yang26@yahoo.com,2017-04-16,巴林,建築物清潔工,06-5655706,1988-08-20
U783037660,cqiao,梁淑惠,F,376 北斗市和平路1號之3,li66@gmail.com,1968-08-30,烏克蘭,壓鑄模具技術人員,(02) 69108910,2016-08-25
Y454505646,pingshen,陳柏翰,M,81843 阿里山縣自強巷6段73號3樓,xiuyingding@hotmail.com,1975-08-27,紐西蘭,都市／交通規劃人員,0966024520,1994-02-27
X696109887,minwu,孫淑慧,M,338 桃園建國街3段846號1樓,weiyuan@yahoo.com,1934-02-02,西薩摩亞,防水施工人員,09 3352842,1985-08-28
M244671011,caona,張建宏,M,297 白沙市自由巷140號之7,tanxia@yahoo.com,2013-04-30,斯洛伐克,工程研發主管,07 6753893,1972-10-31
D960447408,zhongtao,劉宜君,F,149 蘆竹新北投路8段3號之1,konggang@hotmail.com,1986-09-19,亞塞拜然,運輸物流類主管,0963-048943,2003-06-08
I045026131,songtao,袁家瑋,F,63538 南投自由街3號之5,ming16@hotmail.com,2001-11-12,象牙海岸,光電工程師,02-1793044,2017-03-29
S984884648,gfan,楊家瑋,F,11648 南投縣民族巷644號之0,xuejing@yahoo.com,1936-11-02,象牙海岸,導遊,06 1837089,2009-08-25
L611094364,tao93,邱馨儀,M,978 中和象山巷36號之4,xiulanyuan@gmail.com,1964-09-14,宏都拉斯,麵包師,08-5322501,1986-12-09
H605970430,min50,劉佳玲,M,77225 連江長春街4號之0,vshi@hotmail.com,1938-06-20,安哥拉,MIS／網管主管,0995-426723,1974-12-18
U362476017,gang67,孫瑋婷,F,306 竹北市勝利巷8號0樓,yijuan@hotmail.com,1963-02-04,巴哈馬,演員,05 3640650,2004-11-05
Z951959278,leixia,季靜宜,F,97001 褒忠縣中興巷3段228號之1,wujun@gmail.com,1943-06-15,法國,物理研究員,04-29714413,2003-03-19
S919645690,qiang01,徐雅文,M,624 連江中山街5號2樓,nameng@hotmail.com,2007-04-28,坦尚尼亞,飛行機師,09-19378906,2013-03-26
P397081346,li96,朱志偉,F,420 台東市龍山寺路7段2號5樓,weiguiying@hotmail.com,1930-08-01,埃及,藥師,075 59016586,2016-09-27
H871408585,yanbai,劉雅惠,F,35776 桃園縣劍潭街997號之8,chaochen@hotmail.com,2009-01-13,義大利,記者／採編,0963759639,1982-01-25
B540932664,guiying34,王雅芳,F,48088 鳳山學府巷578號之1,fmao@gmail.com,1995-10-14,以色列,設計助理,00-4554673,2018-03-21
T093589511,guiying40,陳慧君,M,76607 雲林縣自立巷3段35號9樓,wwu@hotmail.com,1962-08-13,比利時,查帳／審計人員,0957-534878,2014-03-30
W535769953,minggao,賈雅萍,F,32188 白沙新北投路8號之5,jie71@yahoo.com,1934-09-21,馬爾地夫,發行企劃／出版人員,0997-326386,2003-01-07
O195736222,weixiong,趙琬婷,F,963 古坑縣自由路782號9樓,oqian@yahoo.com,1935-04-05,義大利,CNC機台操作人員,(02) 93610266,1996-06-25
Y421017938,shixia,鄒佳樺,F,365 臺中市德路1號之3,guiyingyan@yahoo.com,1946-04-29,泰國,保全技術人員,03-3267251,2020-05-07
Z555432987,lqin,李佩君,F,36881 梅山市新生路543號0樓,shaoyong@gmail.com,1945-07-03,依朗,翻譯／口譯人員,08 2233265,1997-11-13
N014204847,exia,張靜怡,F,52948 阿里山縣民治路8號5樓,yexiulan@gmail.com,1916-10-25,尚比亞,專案管理主管,0962234280,2007-10-31
I482156317,fengjing,張家瑋,F,97568 蘆洲三民街7號之8,nasong@yahoo.com,1950-02-23,荷蘭,汽車／機車引擎技術人員,0937-698785,1973-08-07
G912390530,gang19,徐靜宜,F,156 蘆洲縣中和街56號之5,fangfang@hotmail.com,1940-09-22,尚比亞,線切割技術員,06-43471613,2011-04-27
X994966086,tao39,張雅惠,F,98354 永康市大仁路3號3樓,chaocao@yahoo.com,1998-11-11,奈及利亞,核保／保險內勤人員,03-8608013,2012-07-31
Y007975982,tjia,朱思穎,M,50683 頭份市永安街85號之3,lianglei@yahoo.com,1908-02-27,布吉納法索,營造工程師,01-29961228,2009-05-10
P134853368,gang47,劉惠婷,M,97386 新營縣仁愛巷701號4樓,majun@gmail.com,2016-03-13,俄羅斯,室內設計／裝潢人員,0914559023,1994-05-27
K005247582,xiuying99,陳佩珊,M,73233 朴子光明街20號之4,jiaping@gmail.com,1917-10-24,越南,副教授,0947087087,1988-05-18
V478355235,xuxiulan,元雅芳,F,62050 永和復興路378號4樓,gaomin@gmail.com,1943-02-21,聖克里斯多福及尼維斯,生物科技研發人員,02-4700376,1974-06-20
O431398680,oyuan,鄭宜君,F,40721 卑南縣景美巷1號9樓,fuming@gmail.com,1922-07-06,亞塞拜然,志工人員,0937487908,2012-02-28
Y887801823,ekong,顏佳穎,F,650 頭份福安路2號2樓,kqian@hotmail.com,1988-01-20,奧地利,工廠主管,0961-260967,2004-03-09
M523365199,junyan,周俊賢,M,67238 橫山縣中華街2段6號6樓,upan@yahoo.com,1915-07-10,緬甸,行銷企劃助理,04-51118920,1995-12-20
N286634296,panjun,封筱涵,M,409 彰化關渡巷4段674號之4,uyin@gmail.com,1998-09-10,瑞典,農林業設備操作員,077 22023941,2011-11-04
N221675797,xiuying67,盧雅雯,F,353 南投昆陽巷671號之1,phuang@yahoo.com,1934-04-30,直布羅陀,模特兒,0971-467610,2019-12-09
